mission_name,launch_date,launch_site,astronaut_name,astronaut_dob,launch_vehicle,command_module,lunar_module,duration,remarks,wiki_page
Apollo 1,1967-02-21,Launch Complex 34,Gus Grissom,1926-04-03,Saturn IB (AS-204),"","",,"Never launched. On January 27, 1967, a fire in the command module during a launch pad test killed the crew and destroyed the module. This flight was originally designated AS-204, and was renamed to Apollo 1 at the request of the crew's families.",https://en.wikipedia.org/wiki/Apollo_1
Apollo 1,1967-02-21,Launch Complex 34,Ed White,1930-11-14,Saturn IB (AS-204),"","",,"Never launched. On January 27, 1967, a fire in the command module during a launch pad test killed the crew and destroyed the module. This flight was originally designated AS-204, and was renamed to Apollo 1 at the request of the crew's families.",https://en.wikipedia.org/wiki/Apollo_1
Apollo 1,1967-02-21,Launch Complex 34,Roger B. Chaffee,1967-01-27,Saturn IB (AS-204),"","",,"Never launched. On January 27, 1967, a fire in the command module during a launch pad test killed the crew and destroyed the module. This flight was originally designated AS-204, and was renamed to Apollo 1 at the request of the crew's families.",https://en.wikipedia.org/wiki/Apollo_1
Apollo 7,1968-10-11,Launch Complex 34,Wally Schirra,1923-05-12,Saturn IB (AS-205),"","",10 days 20:09:03,Test flight of Block II CSM in Earth orbit; included first live TV broadcast from American spacecraft.,https://en.wikipedia.org/wiki/Apollo_7
Apollo 7,1968-10-11,Launch Complex 34,Donn F. Eisele,1930-06-23,Saturn IB (AS-205),"","",10 days 20:09:03,Test flight of Block II CSM in Earth orbit; included first live TV broadcast from American spacecraft.,https://en.wikipedia.org/wiki/Apollo_7
Apollo 7,1968-10-11,Launch Complex 34,Walter Cunningham,1932-05-16,Saturn IB (AS-205),"","",10 days 20:09:03,Test flight of Block II CSM in Earth orbit; included first live TV broadcast from American spacecraft.,https://en.wikipedia.org/wiki/Apollo_7
Apollo 8,1968-12-21,Launch Complex 39A,Frank Borman,1928-05-14,Saturn V (AS-503),"","",6 days 03:00:42,"First circumlunar flight of CSM, had ten lunar orbits in 20 hours. First crewed flight of Saturn V.",https://en.wikipedia.org/wiki/Apollo_8
Apollo 8,1968-12-21,Launch Complex 39A,James Lovell,1928-05-25,Saturn V (AS-503),"","",6 days 03:00:42,"First circumlunar flight of CSM, had ten lunar orbits in 20 hours. First crewed flight of Saturn V.",https://en.wikipedia.org/wiki/Apollo_8
Apollo 8,1968-12-21,Launch Complex 39A,William Anders,1933-10-17,Saturn V (AS-503),"","",6 days 03:00:42,"First circumlunar flight of CSM, had ten lunar orbits in 20 hours. First crewed flight of Saturn V.",https://en.wikipedia.org/wiki/Apollo_8
Apollo 9,1969-03-03,Launch Complex 39A,James McDivitt,1929-06-10,Saturn V (AS-504),Gumdrop,Spider,10 days 01:00:54,"First crewed flight test of Lunar Module; tested propulsion, rendezvous and docking in Earth orbit. EVA tested the Portable Life Support System (PLSS).",https://en.wikipedia.org/wiki/Apollo_9
Apollo 9,1969-03-03,Launch Complex 39A,David Scott,1932-06-06,Saturn V (AS-504),Gumdrop,Spider,10 days 01:00:54,"First crewed flight test of Lunar Module; tested propulsion, rendezvous and docking in Earth orbit. EVA tested the Portable Life Support System (PLSS).",https://en.wikipedia.org/wiki/Apollo_9
Apollo 9,1969-03-03,Launch Complex 39A,Rusty Schweickart,1935-10-25,Saturn V (AS-504),Gumdrop,Spider,10 days 01:00:54,"First crewed flight test of Lunar Module; tested propulsion, rendezvous and docking in Earth orbit. EVA tested the Portable Life Support System (PLSS).",https://en.wikipedia.org/wiki/Apollo_9
Apollo 10,1969-05-18,Launch Complex 39B,Thomas P. Stafford,1930-09-17,Saturn V (AS-505),Charlie Brown,Snoopy,8 days 00:03:23,'Dress rehearsal' for lunar landing. The LM descended to 8.4 nautical miles (15.6 km) from lunar surface.,https://en.wikipedia.org/wiki/Apollo_10
Apollo 10,1969-05-18,Launch Complex 39B,John Young,1930-09-24,Saturn V (AS-505),Charlie Brown,Snoopy,8 days 00:03:23,'Dress rehearsal' for lunar landing. The LM descended to 8.4 nautical miles (15.6 km) from lunar surface.,https://en.wikipedia.org/wiki/Apollo_10
Apollo 10,1969-05-18,Launch Complex 39B,Eugene Cernan,1934-05-14,Saturn V (AS-505),Charlie Brown,Snoopy,8 days 00:03:23,'Dress rehearsal' for lunar landing. The LM descended to 8.4 nautical miles (15.6 km) from lunar surface.,https://en.wikipedia.org/wiki/Apollo_10
Apollo 11,1969-07-16,Launch Complex 39A,Neil Armstrong,1930-08-05,Saturn V (AS-506),Columbia,Eagle,8 days 03:18:35,First crewed landing in Sea of Tranquility (Tranquility Base) including a single surface EVA.,https://en.wikipedia.org/wiki/Apollo_11
Apollo 11,1969-07-16,Launch Complex 39A,Michael Collins,1930-10-31,Saturn V (AS-506),Columbia,Eagle,8 days 03:18:35,First crewed landing in Sea of Tranquility (Tranquility Base) including a single surface EVA.,https://en.wikipedia.org/wiki/Apollo_11
Apollo 11,1969-07-16,Launch Complex 39A,Edwin 'Buzz' Aldrin,1930-01-20,Saturn V (AS-506),Columbia,Eagle,8 days 03:18:35,First crewed landing in Sea of Tranquility (Tranquility Base) including a single surface EVA.,https://en.wikipedia.org/wiki/Apollo_11
Apollo 12,1969-11-14,Launch Complex 39A,Charles (Pete) Conrad,1930-06-02,Saturn V (AS-507),Yankee Clipper,Intrepid,10 days 04:36:24,First precise Moon landing in Ocean of Storms near Surveyor 3 probe. Two surface EVAs and returned parts of Surveyor to Earth.,https://en.wikipedia.org/wiki/Apollo_12
